@relation dwt_64

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
39,152.09925,180.3465,10.850892,162.0055,-12.89025,17.4315,11.245228,1.361,-34.14654,43.848752,28.397199,7.142662,-20.899,29.7365,15.222044,1.69375,-11.946569,9.667564,6.843017,2.004648,-197.07,-167.43175,11.845272,-177.215563,-16.87,9.57025,10.432085,-1.617187,-43.261854,31.488172,28.19841,-6.555631,-30.7615,16.699,15.028389,-1.937781,-11.393612,11.394319,6.736933,-2.030479,361.5215,406.00925,17.578425,380.482063,-17.947,19.5305,13.379025,-1.014937,-66.289847,62.041549,46.396603,10.780948,-34.9595,37.4055,25.13049,1.873656,-20.370332,14.709942,11.307543,2.896376,1542.775,1573.37,11.870198,1559.163125,-13.015,12.745,9.584975,2.691875,-73.44011,72.128427,51.364307,14.134623,-37.935,54.59,28.505741,5.832188,-23.475945,27.41453,13.350788,2.859142,353.12575,394.82225,15.822701,375.146688,-20.558,17.91875,14.3556,-5.079937,-101.405476,84.833722,61.955248,12.161309,-53.857,61.3285,36.726036,2.051406,-22.442862,26.445794,15.606352,3.551864,3
40,140.45425,166.11325,11.017598,151.465,-3.83325,16.87025,7.948489,3.808625,-42.433478,40.08553,25.728703,-6.111347,-26.514,23.1445,15.259847,-2.178938,-11.945862,10.564882,6.684173,-0.345377,-183.39825,-155.7865,11.79369,-167.096063,-15.21,4.36925,7.598915,-3.314563,-37.979412,39.498631,25.049327,6.22771,-22.8515,23.633,14.554431,1.620469,-10.841361,11.600794,6.82175,0.114397,342.31025,396.461,22.742358,369.8545,-9.93375,17.7735,10.849661,5.511875,-66.531677,51.719911,42.016659,-12.693009,-39.261,35.0565,26.577662,-2.676687,-17.125419,15.952329,10.586926,-0.627425,1521.6825,1583.6675,23.613874,1555.8525,-23.1225,27.1475,19.095821,7.68375,-76.862507,52.926943,42.973619,-13.541095,-45.51,33.79,26.984603,-2.35375,-23.546656,28.241845,12.396521,-1.3519,364.74775,422.6335,25.457533,390.5165,-21.241,9.08375,12.316148,-0.268625,-97.711551,77.305156,60.173656,-19.637416,-50.3895,48.5365,36.816836,-2.513563,-22.717927,20.232446,13.581061,-0.621503,3
41,129.1265,165.845,13.517051,147.772563,-18.26225,4.321,8.130349,-7.354938,-39.463983,33.698234,26.813389,5.649562,-31.1035,24.365,17.924253,0.594969,-11.67009,14.708528,7.012236,-0.852307,-180.95725,-143.2615,13.520864,-162.84175,-6.909,16.23525,8.491227,6.6895,-34.042949,36.943147,26.710113,-5.688232,-22.9975,28.809,17.529424,-0.665187,-15.882325,12.981773,7.670738,0.78122,337.8915,383.81375,18.988534,370.294063,-24.3155,16.6985,14.848973,-4.656562,-62.907048,62.286915,46.161321,7.074117,-41.747,30.2745,26.553826,1.486281,-15.675143,16.090215,10.500692,-1.508325,1520.045,1605.7625,31.271553,1565.63625,-41.4075,16.915,20.959952,-11.15875,-62.872399,60.316208,46.98277,7.078139,-50.63,45.41,30.480194,1.34875,-19.127238,22.78298,11.700242,-0.970946,363.8695,419.53025,20.989467,398.687125,-28.43875,32.6635,23.576809,1.947,-86.594064,83.797103,63.668195,8.265106,-40.6745,38.6205,30.315344,4.885687,-20.025264,25.894957,14.239978,-1.694139,3
42,123.75525,152.27025,11.242892,140.82025,-16.2355,17.163,12.148639,2.893,-42.191647,37.392514,29.105537,-0.65593,-25.3905,16.211,13.560925,-0.793438,-10.910658,13.465434,6.445286,-2.166487,-166.968,-141.5285,10.520876,-157.3915,-18.14,14.087,11.803445,-4.608375,-38.117652,42.329533,28.740125,0.228661,-15.674,23.535,12.955104,0.723375,-14.36346,9.874746,6.63292,2.103996,355.41925,375.14675,8.096713,364.869375,-17.16175,13.60025,14.828233,-2.29475,-63.287471,68.015541,49.618887,1.4676,-41.848,30.6155,25.602165,0.469375,-14.296285,16.57034,10.520109,-2.533077,1537.26,1575.2925,14.38902,1551.924375,-25.0275,25.7325,18.648693,5.009375,-63.911846,77.435264,52.519888,5.65818,-46.235,29.44,24.363749,-1.180312,-23.822427,27.41453,11.929213,-1.767988,366.6025,402.195,14.095528,382.739625,-21.1445,12.45225,13.523727,-1.671625,-80.414658,95.118236,66.19902,3.995065,-57.034,59.815,38.689293,2.886937,-22.166383,27.761012,15.295787,-2.413267,3
43,162.988,181.5435,7.648119,173.431375,-6.2985,8.10575,5.730968,-0.421,-42.295239,35.182451,28.917775,-5.908496,-23.877,22.998,15.412089,-1.10175,-14.570642,12.843888,7.104412,-1.594747,-197.33875,-178.833,7.717539,-189.208813,-10.6935,6.81175,6.777817,0.024563,-36.632727,42.156999,28.645505,5.230778,-26.319,24.853,15.600052,0.714031,-12.982481,12.015158,6.893269,1.536344,340.03975,385.95675,19.440483,365.666688,-17.25875,22.33825,14.507085,4.669438,-60.766989,65.21858,45.684643,-9.948683,-36.083,33.7875,25.433035,-1.315656,-16.365279,15.881618,11.013267,-2.090848,1505.1,1572.1975,24.82979,1541.840625,-13.5925,14.6475,10.44395,3.571875,-65.912959,65.255349,45.538154,-15.394157,-37.015,43.6,24.265953,-0.247188,-20.576807,23.553727,12.432396,-2.025198,305.932,404.395,34.924009,357.487688,-17.1355,26.659,17.665762,9.222313,-81.618861,79.931704,54.889217,-12.55393,-43.9455,38.0345,30.449293,-1.723906,-25.412004,21.474833,14.060167,-2.405688,3
44,156.299,196.8995,14.95703,176.141313,-12.0115,8.496,9.974843,-1.483187,-31.661413,38.289832,24.918574,5.925422,-26.367,25.83,17.313838,1.248219,-13.879092,13.534731,7.441386,0.925713,-212.23175,-171.24,15.315158,-190.881375,-7.98375,10.30275,8.1624,1.293875,-39.014617,32.455141,24.966461,-6.024815,-28.613,25.391,17.719045,-1.294,-12.222341,11.877273,6.680328,-0.815736,328.3205,382.05775,20.855354,353.674375,-15.526,8.52225,10.477811,-3.991875,-57.314187,69.084333,43.183902,13.404535,-29.6875,39.16,26.42785,2.166687,-18.713581,17.74838,11.682122,1.774087,1542.8925,1598.17,21.90582,1568.229375,-27.0275,12.19,16.602457,-8.293125,-68.398439,68.911091,45.491549,10.552243,-42.97,40.185,28.349254,2.669688,-20.371746,22.719341,12.869046,1.046297,336.4025,395.04575,24.92774,365.010063,-18.727,7.49325,10.277075,-8.722938,-76.20313,90.012925,59.431249,16.732754,-45.558,44.5325,34.446677,1.376344,-22.511451,28.107495,15.587,2.194572,3
45,150.2195,187.8175,14.853701,164.428688,-9.5215,16.35725,9.338644,1.733187,-35.666112,46.1967,27.332948,-5.550214,-20.752,29.004,16.155719,0.170844,-13.258252,15.053596,7.560836,1.933473,-205.8105,-167.1875,15.189468,-181.653063,-15.08775,9.131,8.644756,-1.916687,-45.575153,32.973096,26.393515,5.161835,-30.176,18.75,16.750708,-0.134406,-14.91571,12.084455,6.978691,-1.78255,317.6275,355.73625,14.57463,341.882188,-13.2345,15.30625,12.949414,0.632813,-64.841692,63.117058,47.363411,-7.949073,-32.4685,37.938,24.136038,-1.732594,-17.746966,14.226988,11.310426,2.041484,1535.545,1570.8025,14.002035,1557.65375,-18.5,33.5975,20.69655,3.61625,-67.461522,71.117265,47.620536,-7.311484,-39.065,63.185,29.28019,2.5625,-22.238508,28.729749,12.316636,3.047188,340.7945,369.65175,10.467712,357.554875,-17.70225,31.9075,20.607738,5.652,-83.828216,69.811592,60.289296,-8.122536,-49.707,39.1085,32.602032,-5.542563,-29.34776,31.764651,15.826681,2.059051,3
46,149.4385,175.51275,9.22383,162.573375,-10.64475,7.29975,7.462009,-1.294,-40.706723,42.985728,30.875754,-1.346685,-18.408,28.857,13.901222,-0.390687,-12.223048,13.465434,6.806707,1.652906,-191.33325,-166.43075,8.876549,-178.070125,-7.83725,9.37525,7.793716,1.483125,-43.676218,39.774756,30.487108,1.316279,-28.4175,18.2125,14.022084,0.369375,-15.882325,11.325022,6.720558,-1.508259,312.4025,364.4795,20.002466,337.366188,-23.09525,25.6845,18.198242,2.734812,-63.839722,62.46157,48.279314,-3.218441,-34.768,38.2315,24.756427,-0.427531,-16.779644,15.260779,10.625072,2.361052,1555.2025,1585.565,13.800373,1571.904375,-14.38,24.5375,13.851155,3.704375,-80.108127,64.841692,53.205177,-6.132826,-38.87,40.625,23.286448,-5.337813,-24.444681,28.793388,12.143187,2.000449,379.0755,428.102,19.483843,398.083625,-17.84975,33.3745,20.866752,3.490625,-88.628764,84.451884,65.853413,-3.184809,-50.8295,51.8085,34.813589,0.12225,-26.585801,26.723687,15.688315,2.749761,3
47,144.50675,181.2015,13.925765,160.418813,-10.98675,17.52925,10.481579,0.824063,-35.009917,36.494488,24.744006,4.415042,-27.197,24.9025,15.937457,0.491344,-11.807976,10.772065,6.363968,0.429324,-197.0945,-161.76825,13.651141,-175.952188,-17.309,9.326,9.980518,-0.707937,-34.837383,34.699498,24.608896,-3.685573,-23.1445,23.0465,15.426448,-0.518781,-12.912477,12.429523,6.898125,-0.46605,294.50675,349.87975,20.270609,316.998813,-16.43325,21.24,13.970723,-1.704187,-64.702745,62.008315,44.437322,12.891308,-37.793,36.621,25.800823,1.821531,-15.192189,15.398664,10.257488,0.882624,1527.17,1567.31,15.509391,1543.0975,-20.485,13.77,13.039114,-2.08125,-58.353987,58.831284,41.870731,12.269187,-41.16,45.065,29.24386,2.38375,-20.92329,16.708933,9.851528,0.852506,326.2455,366.11375,15.151968,349.194625,-21.89675,3.783,10.564569,-3.663,-87.870392,93.431433,60.091929,19.766728,-57.6685,40.8755,34.185298,2.680125,-26.032843,22.511451,15.278114,1.45474,3
48,145.31225,174.219,12.181351,161.065625,-2.4655,6.25,3.395216,2.813875,-45.367971,35.320691,26.384616,-8.523642,-30.7615,22.461,17.48191,-1.54725,-11.877273,15.122186,6.740126,-1.486692,-189.06225,-160.913,11.823704,-176.684438,-7.32425,6.47,5.227619,-2.160437,-34.768087,43.572627,25.404456,8.648932,-21.191,27.9295,16.321915,1.544156,-16.503165,11.532204,7.197564,1.415606,278.93275,321.48375,17.939354,301.385688,-9.10775,13.45425,8.688723,5.401438,-67.256108,60.354039,44.958674,-12.485959,-41.455,28.7105,26.710346,-2.029094,-14.432049,16.779644,10.21357,-2.393137,1507.52,1566.5,21.50328,1532.499375,-13.3,21.485,12.325792,4.854375,-71.025341,55.316963,45.631685,-10.431151,-42.285,35.255,27.600625,-0.758438,-18.229213,28.241845,12.157677,-2.388916,343.84775,443.31225,38.66151,380.901875,-32.71575,23.63125,22.563579,4.889625,-81.20485,84.278997,58.483914,-12.804466,-43.699,42.58,33.352448,-1.523313,-24.928342,21.05764,14.866393,-3.062038,3
49,152.197,191.01575,14.081544,168.621688,-10.425,7.07975,6.506305,-0.592187,-40.051235,35.631818,27.133841,5.925776,-29.834,20.1175,16.202711,0.796594,-10.979247,11.945862,7.064756,-1.57307,-204.126,-169.7505,12.688405,-183.313063,-6.128,10.351,6.462595,-0.134562,-34.975623,38.255184,26.74522,-5.748911,-25.244,28.613,16.415758,-0.695906,-12.913184,9.460382,7.201177,1.575235,266.57875,316.40475,19.23251,288.800438,-18.45925,17.4305,15.180229,-3.412813,-63.01276,64.321968,47.554752,5.649474,-39.6,30.8595,25.416198,0.838906,-14.9843,18.023445,11.181842,-2.371747,1463.6225,1518.8725,19.779572,1494.096875,-21.5575,24.8775,17.308672,2.423125,-63.00675,68.189842,47.540717,5.978146,-48.535,37.355,30.069115,-0.113437,-20.230325,27.966073,13.530107,-2.255008,369.45825,433.7175,25.906968,395.288313,-35.47125,27.22475,25.258696,-9.519188,-85.829682,87.731092,62.312019,3.07313,-54.491,35.451,33.297921,-0.494469,-24.098199,20.788939,14.204532,-2.886344,3
50,142.017,188.525,20.731076,165.655438,-17.7735,24.16975,16.675902,-2.593938,-41.190384,39.326097,29.143851,-0.712101,-27.979,19.434,14.095483,-0.546219,-16.641758,13.81121,6.879632,-0.990502,-203.4425,-158.4715,20.548485,-181.054625,-24.707,17.8955,17.135271,3.003125,-38.117298,40.569191,28.477543,0.949556,-23.389,29.004,14.50874,0.897188,-13.879799,15.537257,6.481396,1.04011,255.12725,294.28675,16.290793,271.221688,-21.04375,16.18725,14.771344,0.323937,-55.726025,71.850534,49.299676,5.86523,-34.229,33.984,24.413653,1.291156,-16.089508,17.539077,10.708351,-1.163124,1351.61,1453.835,37.415227,1411.945,-24.39,35.52,21.515462,2.775,-55.242717,70.95463,48.247485,7.600514,-31.205,43.55,21.196837,3.066875,-18.646406,25.82354,11.84674,-0.610763,361.305,416.91775,20.469099,387.773813,-17.4805,20.334,15.590737,-0.019313,-77.510924,78.167826,59.983358,11.139539,-45.3655,50.1955,33.56834,3.323844,-22.097087,22.026376,13.951584,-1.615761,3
51,182.0555,193.506,4.481401,185.937375,-18.921,9.668,10.972275,-1.74575,-33.111336,44.090583,27.775306,-5.368885,-21.777,24.316,14.998319,-1.3915,-15.813029,11.67009,8.301479,-0.310729,-209.61925,-195.874,5.115603,-201.318625,-10.96175,18.1645,11.113293,1.001125,-44.297765,33.870768,27.769401,5.524272,-26.66,22.8025,15.294125,1.25125,-11.255726,15.122893,7.556727,0.207138,247.338,288.32925,16.417529,265.154813,-5.71225,12.98825,7.312584,2.692187,-60.421921,68.570619,45.359338,-10.612745,-29.7365,37.6445,24.892483,-1.803844,-18.574988,17.470487,11.607019,0.179097,1306.155,1403.6875,34.601307,1353.045625,-16.1825,10.8125,10.712611,1.531875,-67.808005,72.715326,47.781335,-8.971859,-42.965,49.12,27.345656,-4.054688,-23.546656,23.065823,14.491267,-0.27776,366.0135,424.90475,22.282958,393.395375,-5.591,12.57175,7.006071,6.187375,-83.13808,87.212429,58.799646,-14.586729,-46.774,44.2355,32.939149,-1.660437,-19.888085,19.544431,14.082088,0.694467,3
52,169.751,190.94225,7.550798,179.998875,-5.95725,-1.4405,1.63152,-3.96125,-33.524993,43.296502,26.625557,7.557115,-17.627,29.7365,16.469018,2.01725,-13.327549,13.604027,7.290211,2.46219,-204.76075,-186.08425,6.700342,-195.654438,2.14875,6.07875,1.445958,4.394688,-43.054671,32.489082,26.195838,-7.449149,-29.199,16.3575,16.408189,-1.806594,-12.291637,11.393612,6.773355,-2.378022,206.9095,258.66725,21.745993,244.439438,-9.86375,17.16325,10.947994,-1.605313,-59.00594,65.97978,44.153498,13.581709,-32.422,39.6485,26.534245,2.609094,-16.986826,14.156278,11.038045,3.234549,1262.8675,1323.925,21.658944,1292.01625,-24.705,15.9175,14.914333,-8.23875,-60.768757,65.400306,42.76584,8.685039,-36.96,53.41,30.291693,3.051875,-28.800459,38.395898,14.749838,4.052164,369.334,467.9675,35.093105,421.758563,-28.9785,44.82425,30.5808,-7.952313,-85.936808,74.233131,56.952656,14.540016,-53.1735,50.833,36.326737,1.920156,-22.238508,34.322963,17.047103,3.153321,3
53,149.21875,196.1915,17.822345,175.286875,-9.7415,12.9885,8.865087,5.194,-36.080124,43.503684,28.369846,-5.62362,-25.391,24.414,15.094429,-1.260312,-13.258252,10.219814,7.139784,1.404844,-210.74175,-164.52625,17.625277,-191.388,-13.62275,8.20325,8.204386,-5.18175,-43.158262,33.525347,27.830549,5.571825,-24.512,21.826,15.003942,1.443375,-10.219814,13.120366,6.713526,-1.236465,174.75525,227.02675,18.867885,204.67525,-21.167,31.543,19.561296,3.771875,-64.703452,60.076853,47.590652,-3.219634,-35.0585,40.1855,25.081365,0.28075,-16.365986,14.362753,11.162606,2.015475,1139.645,1233.79,33.888621,1192.42,-7.695,47.36,20.07154,16.5875,-66.15691,64.806336,51.444364,-0.654958,-43.455,52.345,26.337751,0.245,-20.371746,22.231437,11.379496,2.006415,386.74275,417.13925,11.29482,399.168875,-33.86775,43.7245,29.556449,-3.126625,-84.764072,79.719572,64.188282,0.369905,-44.53,54.8305,31.951555,2.361625,-24.168203,29.417056,15.15849,2.770489,3
54,181.95825,198.07075,6.626544,188.671688,-9.741,16.03975,10.021968,-0.903313,-44.57389,36.253011,30.141056,-2.934537,-28.6135,27.3925,16.057647,0.116031,-13.120366,11.048543,6.784727,-0.025876,-214.62375,-195.97225,7.399926,-203.576625,-16.08925,10.32675,9.933745,0.50025,-34.285133,43.089319,28.932066,3.090145,-26.221,24.658,14.962811,-0.097688,-12.360934,12.913184,6.855465,0.021611,184.3505,214.795,11.676444,199.255313,-18.40825,18.823,15.503279,3.759563,-69.087868,58.281155,50.388901,-4.272737,-37.3045,33.5445,25.313462,-0.561531,-15.951622,16.020918,10.470449,-0.189836,1083.98,1147.49,23.182456,1110.198125,-0.02,17.725,6.931715,11.591875,-74.96039,52.891587,48.437127,-9.301548,-41.945,41.895,26.305532,0.856563,-19.53736,27.41453,11.655916,0.339632,376.68075,421.312,16.721484,403.5925,-16.7745,34.76525,19.347038,3.874625,-90.008329,79.098732,64.948987,-11.639862,-50.2435,45.359,34.882198,-0.479625,-23.202295,31.213108,14.938678,0.023776,3
55,178.02725,196.43575,7.079803,189.325188,-16.28375,7.56825,9.06509,-1.141312,-41.362918,35.976532,27.266261,8.394197,-28.809,21.4845,15.696663,1.113844,-11.255726,12.636705,6.537529,-1.253722,-211.5965,-193.38375,6.88564,-204.583688,-6.323,17.334,9.239036,1.800562,-35.769704,39.222506,27.041334,-8.273547,-20.264,25.7325,14.919911,-1.315281,-13.810503,12.360227,7.145057,1.124189,145.215,208.52025,23.115012,171.966313,-22.75375,18.506,15.392389,-2.203313,-62.596628,65.945839,43.308982,13.012223,-42.871,30.5175,26.187289,2.371406,-13.120366,16.434576,10.551651,-1.253811,930.9075,1024.2225,42.941087,979.786875,-12.745,43.7975,22.660896,8.396875,-55.065941,80.900087,44.420335,15.676115,-47.02,27.44,25.419452,0.782812,-19.127238,21.821315,11.192067,-2.020337,364.04,454.39425,35.55456,407.258,-34.1815,20.5805,21.62488,-5.990625,-79.653811,76.060294,54.157106,9.646704,-56.5935,43.1155,35.157947,1.169313,-25.480593,25.901321,15.175229,-1.166903,3
56,168.9205,214.86775,17.672341,192.016438,-8.37425,13.64725,8.044569,4.601938,-40.982848,25.515241,22.784358,-7.716612,-28.8575,20.947,17.305526,-1.129156,-10.3577,17.815555,7.017623,-2.240004,-231.07975,-184.717,17.879089,-208.0325,-15.18525,6.8115,7.8987,-5.4565,-27.413823,38.705257,22.888586,7.198877,-18.2125,28.418,16.318552,0.799625,-18.367806,9.944043,7.164712,2.166531,135.254,176.5865,19.885447,156.231563,-6.7865,13.404,7.650215,5.157812,-58.626223,63.701482,44.248412,-10.094701,-39.746,30.8595,27.0038,-1.669344,-15.606554,16.503872,10.509326,-2.980168,775.5375,912.015,48.888226,842.37375,-11.8625,21.63,12.136429,5.49375,-59.973262,63.388587,43.864996,-10.727694,-52.295,41.355,29.1188,-0.47625,-22.64863,20.230325,12.114139,-2.999017,381.69075,442.06625,21.560135,412.731938,-18.99075,12.9635,11.906804,0.185188,-78.72043,103.717362,65.852183,-7.674362,-45.6055,44.1915,34.804014,-1.072844,-20.991879,20.025264,14.010349,-3.634286,3
57,168.06675,204.71175,14.222296,190.692125,-17.578,8.39825,9.770156,-3.60725,-41.985172,36.667376,28.999059,4.009207,-30.029,20.1655,15.405566,-0.766,-11.739387,15.122893,7.115668,-0.710068,-220.84975,-184.03275,14.197888,-206.793063,-8.83775,17.82225,10.126326,3.790312,-37.288569,41.949817,28.009448,-4.423793,-24.072,29.395,15.589727,0.717281,-15.398664,10.219814,6.836441,0.653831,130.2985,149.512,7.459087,139.300688,-12.2075,17.04075,13.397196,1.495187,-58.453689,69.67512,50.54664,4.441205,-38.086,36.524,24.660796,0.625719,-16.780351,16.84894,11.408449,-0.951655,668.75,767.435,36.642188,714.88,-15.38,17.7025,13.302877,6.22625,-56.798352,62.21479,46.363863,4.141878,-44.83,54.345,27.083843,0.431875,-23.963849,18.370634,10.961039,-0.232903,406.857,465.5535,21.820887,433.241688,-39.52575,31.5635,28.016776,0.818063,-85.107019,80.866853,60.575086,0.959058,-51.1275,46.5385,34.585059,0.751219,-25.413418,27.690302,15.520705,-1.592648,3
58,166.016,189.3555,9.626324,182.623438,-17.43125,10.498,10.360918,-0.628688,-37.288923,46.231348,29.24975,1.437239,-21.24,26.8065,14.926295,0.918469,-12.982481,14.294164,7.435869,1.081188,-205.02925,-180.835,10.059033,-198.168875,-13.8915,15.21,10.364304,-0.085375,-45.299028,36.70167,28.626984,-2.270166,-29.004,22.2165,15.300747,-1.178063,-13.188956,11.600794,6.556012,-0.927945,84.4235,146.2645,25.830684,101.666188,-27.051,27.686,19.663912,-3.131062,-58.626577,63.528948,46.545502,5.114106,-29.1015,40.2345,25.328102,1.235969,-17.263305,16.158804,11.010643,1.560209,585.545,648.5825,28.779489,614.555625,-25.8975,18.655,15.820983,-5.070625,-59.59496,71.990541,47.942251,4.837936,-41.065,46.675,27.89082,5.269687,-23.341595,31.628886,13.679524,2.074254,421.18925,476.6075,20.652365,442.455688,-32.17925,8.35075,14.388546,-12.246313,-83.211619,83.8664,65.545128,12.58407,-44.3835,42.6755,35.148607,-0.048719,-22.716512,22.372859,15.24344,1.630964,3
59,159.96025,204.61425,18.22984,188.97075,-8.1785,21.46,11.029627,4.828,-31.039513,39.740462,25.876782,-2.714583,-21.2885,24.414,14.862354,-2.566437,-13.672617,12.636705,7.737931,1.417793,-221.31375,-175.806,18.19997,-205.109125,-20.92275,10.5955,11.677141,-3.6805,-40.293066,31.557469,26.122192,3.016959,-25.9765,20.654,15.097782,2.340625,-10.909951,12.153044,7.189086,-1.4048,53.19825,129.90725,27.745638,93.54275,-17.67575,24.07225,15.631741,6.799375,-65.531828,62.769869,43.057768,-11.583647,-34.717,41.4545,25.514405,-1.580813,-18.230627,15.122186,11.811366,1.760828,506.2295,591.485,33.962999,550.1675,-13.4775,35.472,18.269171,8.306,-64.116907,58.764109,40.706585,-10.199131,-41.065,50.005,26.333828,-3.329375,-23.058752,28.383266,13.293316,2.462499,422.6575,497.5335,33.185381,457.507438,-7.643,18.89925,11.358161,6.493938,-91.325316,66.396973,53.971671,-18.678889,-41.7495,49.025,32.863474,-0.750156,-23.412306,24.10032,14.340021,1.881677,3
60,142.35875,188.23225,16.699403,164.477625,-9.375,1.75775,4.135314,-3.186,-39.118915,41.328624,26.071532,7.880705,-22.412,28.76,15.437136,1.7945,-14.708528,12.913184,7.087114,1.82133,-203.14975,-160.05825,15.729428,-180.597,-0.12175,6.71375,3.28214,3.19225,-41.984112,37.495751,26.197521,-8.005863,-30.0295,18.5545,14.840584,-1.90125,-13.465434,13.534024,6.989242,-1.732809,38.62275,84.69225,17.08892,65.789688,-10.88825,5.811,6.30008,-3.631312,-67.775831,60.110794,45.387503,11.35503,-35.6445,42.236,27.197189,2.426219,-17.263305,14.708528,10.834581,2.777272,450.784,536.618,30.52389,496.973,-14.96375,4.687,7.542723,-4.466625,-69.543245,56.482629,45.167481,12.386124,-43.1145,54.8855,26.561074,4.30975,-26.929455,19.057235,11.698093,2.217973,408.25025,471.925,23.838927,443.602438,-13.818,12.8955,9.967942,2.625187,-65.981548,80.134997,55.991839,16.063124,-47.3165,50.829,37.501075,2.348906,-27.897484,24.859046,14.90208,3.58249,3
61,141.6015,176.9045,14.290738,163.31175,-12.0115,6.4945,7.259824,0.055125,-37.60005,36.874558,28.571623,-4.00081,-29.8825,27.9785,15.57635,0.0275,-10.703475,15.467961,6.414964,-0.42506,-190.69875,-157.83725,13.186235,-178.302125,-6.714,12.81725,7.959705,-0.103875,-36.598786,38.1523,28.145762,4.017958,-27.051,27.49,15.297459,0.509625,-16.780351,11.048543,6.929804,0.468281,-0.8295,55.2485,21.246828,33.734188,-16.187,19.60475,16.499392,2.252188,-66.188023,57.107004,48.469181,-2.921809,-39.453,32.5685,24.747485,-0.277781,-16.158804,15.192189,10.328222,-0.192046,455.248,499.39075,15.914347,480.365,-15.8925,11.76925,11.209036,-3.04575,-66.329445,63.355707,49.054185,-1.27403,-56.151,38.234,28.64136,-1.5705,-19.197949,35.42605,12.068174,-0.83474,403.442,458.5465,25.411248,432.606375,-24.268,13.1105,16.169988,-3.05175,-93.81221,83.070905,67.458784,-3.469419,-53.8085,42.819,32.314835,0.463438,-25.549889,32.108305,15.425805,0.133599,3
62,133.78875,183.12975,20.374039,157.025063,-27.026,15.23425,16.02116,-0.128313,-40.327007,30.452968,26.540908,-2.973517,-24.2185,21.68,15.003537,0.540281,-9.944043,15.882325,6.705921,-1.39616,-199.3165,-151.02525,20.134907,-173.101688,-13.03675,26.58725,15.613757,0.091687,-30.245078,39.08356,26.390361,2.62836,-23.4865,21.289,14.716858,-0.674531,-16.434576,10.426997,7.313394,1.344409,-3.05125,58.2515,22.798395,20.593313,-18.677,16.47925,13.280482,2.807563,-64.530565,64.081198,46.798681,-6.819205,-43.6035,27.881,25.543538,-1.336594,-13.327549,16.641758,10.309211,-2.291711,452.46525,521.38875,26.128759,493.365375,-38.65325,22.23225,22.398375,-2.609875,-66.707393,55.204887,44.32814,-9.861488,-51.802,35.301,27.997731,-5.13525,-16.228101,35.5604,12.258236,-1.660331,428.0075,499.09425,29.243501,478.265,-21.04525,10.8195,12.530059,-1.141875,-67.849017,83.277026,57.573184,-8.11025,-63.431,51.756,37.341457,-3.196688,-25.273411,20.92329,14.080267,-2.876952,3
