@relation dwt_32_ert

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute 7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
198,46.127404,62.562333,54.396576,-75.026858,-56.86482,-64.754718,-409.107235,-370.782047,-391.887417,11.019039,-91.392137,-34.52661,-69.113854,334.665154,393.397797,361.537333,3
199,55.4499,75.85488,65.946016,-87.559265,-66.774215,-76.372747,-424.433774,-374.816092,-401.991973,11.355678,-111.106628,-62.389092,-87.542029,313.186786,388.735488,345.196272,3
200,50.720062,70.745326,59.843419,-80.654367,-61.595365,-70.555115,-446.085384,-400.887119,-417.468773,11.006578,-108.517203,-83.899634,-93.507005,312.362653,355.522329,342.529154,3
201,40.534543,76.683609,64.254174,-88.802359,-53.309134,-75.50115,-438.590052,-397.128846,-415.967055,11.041729,-103.407649,-61.492127,-80.852887,335.115581,382.76079,356.115592,3
202,54.241454,78.237123,66.058269,-90.321931,-66.18767,-77.512338,-444.558033,-411.352299,-430.460092,10.874961,-109.933184,-63.494653,-91.323106,323.517616,376.78998,345.817996,3
203,45.437268,63.943313,56.304173,-76.269598,-55.657082,-67.318333,-452.675619,-424.256998,-437.69291,10.767081,-115.802878,-73.472991,-94.672229,330.631464,403.931567,358.985208,3
204,52.135337,70.572439,62.812649,-82.035347,-62.596981,-74.163215,-467.422331,-415.838891,-444.885954,11.114739,-109.449877,-58.3851,-84.521799,337.42676,437.904159,381.408625,3
205,52.411462,86.143991,74.663935,-98.055912,-65.255703,-85.306776,-470.943723,-433.3115,-447.336079,10.086425,-119.876873,-68.673503,-89.907478,298.901815,347.437624,328.038326,3
206,57.694256,82.864076,72.877342,-93.46396,-69.67512,-85.099682,-471.184139,-437.313724,-454.811082,9.40375,-107.688827,-78.790434,-91.80659,305.459523,337.712784,321.720858,3
207,68.259139,86.937718,77.063502,-98.7114,-80.689015,-88.690282,-489.102225,-449.295649,-466.990996,10.4457,-122.155878,-74.060243,-97.106621,252.735873,351.106448,310.646681,3
208,68.812096,89.044189,78.461806,-100.887167,-80.55113,-89.268784,-489.314357,-451.576068,-470.581331,9.285984,-109.933538,-77.823465,-90.831313,299.418003,350.583189,318.206979,3
209,66.567386,85.005195,77.20183,-95.674022,-80.654014,-88.017293,-496.636448,-460.927555,-478.365692,10.150277,-102.130614,-65.842601,-83.805147,291.164652,347.337568,316.392543,3
210,77.201211,92.531993,83.753174,-102.613568,-90.184045,-95.552754,-491.867013,-450.087608,-470.849147,10.203509,-30.142194,11.290374,-9.581208,361.215953,405.620845,384.489489,3
211,100.300268,124.813893,112.600391,-134.619696,-110.520083,-122.630259,-479.160304,-448.054676,-464.290732,10.616811,35.182451,82.380768,58.332686,303.179811,358.246458,332.836576,3
212,104.374264,118.081176,110.675204,-128.473878,-116.769139,-121.861899,-479.987619,-439.767385,-457.402628,10.960434,33.490698,75.716994,60.335212,274.347178,314.435536,298.707625,3
213,84.970547,116.596251,99.566203,-127.989863,-99.609779,-110.52848,-471.707398,-440.417923,-459.757294,10.572577,31.626765,86.765184,56.882586,248.314688,297.862368,269.980617,3
214,89.562145,115.146682,100.610954,-125.401145,-99.091469,-111.072422,-486.860697,-455.164635,-474.018753,10.716393,61.595365,93.912266,80.265812,254.529803,293.374007,274.426993,3
215,97.951967,122.363061,110.338622,-131.615553,-108.137486,-119.773105,-493.701955,-451.438182,-475.554059,11.678513,76.304246,109.51882,91.823738,235.092852,302.456087,265.623248,3
216,93.049596,117.770756,108.949068,-128.888242,-103.26941,-119.168971,-495.324765,-451.98619,-469.624085,11.019951,108.897273,134.171037,122.060596,255.535663,320.029458,290.482648,3
217,89.803975,115.112741,107.939231,-127.471907,-102.785749,-119.721133,-487.794077,-450.434091,-467.691032,10.815402,107.758124,154.057708,140.584053,275.559159,311.812524,295.758371,3
218,98.850346,118.012233,107.421187,-129.578378,-111.002683,-119.004657,-499.493159,-457.685471,-478.321498,10.638536,115.111681,180.332382,144.355761,245.343072,320.201639,282.012481,3
219,96.812818,117.113854,107.714371,-127.818036,-107.032632,-119.445273,-506.062181,-456.444498,-483.236774,10.561942,144.632682,185.926303,163.699816,253.152713,317.752574,282.601501,3
0,48.682888,71.884475,62.562333,-83.036964,-56.865174,-72.618364,-272.033878,-226.49408,-251.026001,12.071017,-254.532632,-210.30381,-233.885114,217.345533,254.774109,233.928247,0
1,53.999977,93.118538,78.272036,-105.51412,-65.635419,-90.149397,-266.272019,-211.131832,-232.87457,11.292424,-259.29535,-205.433258,-227.271367,200.809841,249.904264,230.094845,0
2,52.446464,79.894935,68.311376,-91.633968,-65.220701,-80.317696,-250.078213,-213.617312,-234.161327,11.842072,-250.316154,-214.687165,-230.879203,210.956823,249.10983,230.853305,0
3,55.794968,78.962968,66.576136,-87.732506,-67.706889,-77.918218,-252.390805,-209.301132,-231.943222,12.408018,-259.297824,-194.177886,-228.679659,199.738574,277.115148,236.741383,0
4,84.831954,96.226273,92.721498,-107.06728,-95.811555,-103.43337,-244.102453,-190.414664,-218.095508,11.463589,-246.79653,-209.748377,-223.172004,207.265372,275.487741,245.183354,0
5,52.583642,98.71246,83.675481,-107.308757,-63.218175,-94.033269,-253.462426,-224.52797,-238.270237,10.224394,-257.080691,-225.907535,-239.821187,197.111672,275.488448,234.651529,0
6,43.33115,79.963877,65.738834,-93.049242,-55.06983,-77.564222,-238.577474,-195.145208,-212.356187,10.920112,-234.539188,-186.652502,-201.239143,247.762438,290.025503,277.792998,0
7,59.903612,85.695331,71.979758,-98.642457,-70.67603,-83.131539,-232.778845,-190.690435,-208.550185,11.07919,-209.300072,-153.298629,-184.493086,244.203923,304.662614,276.419708,0
8,45.678745,64.805983,55.613595,-77.271215,-56.658699,-66.438162,-234.160885,-197.390626,-218.26981,10.105839,-203.603973,-184.406731,-192.193214,259.952252,298.105612,277.051861,0
9,58.93735,73.887355,64.496005,-86.351173,-71.60835,-76.640652,-232.158006,-195.041263,-211.743833,11.361953,-211.304012,-182.126312,-192.624019,215.757724,275.38415,255.17769,0
10,44.436004,76.028121,62.45883,-84.037873,-55.104831,-72.523523,-226.013601,-181.679774,-202.749434,10.646585,-212.375633,-154.818201,-186.229387,246.413278,309.32669,273.951198,0
11,66.671331,100.852519,81.664292,-111.62423,-77.892408,-93.558624,-232.569542,-197.699278,-217.430739,11.307164,-222.42362,-168.870534,-199.910754,230.088304,283.155607,256.690633,0
12,54.344692,84.348647,70.227371,-92.152277,-67.465058,-80.896198,-231.052798,-166.902303,-191.458884,11.922332,-219.829245,-139.453125,-169.162923,241.893452,328.070676,294.969947,0
13,39.22286,68.051603,48.984822,-76.062416,-49.891333,-58.988969,-216.96617,-185.995246,-201.385425,11.607139,-196.767665,-150.984975,-179.789147,265.025743,299.689178,280.830375,0
14,44.125231,50.995834,47.61224,-61.043114,-52.480758,-57.512795,-208.645998,-179.19394,-195.403479,11.22547,-180.469207,-153.160389,-172.702434,270.273536,314.573069,291.56072,0
15,44.33206,77.927056,64.444033,-90.252635,-55.31166,-75.173229,-198.217587,-151.088567,-178.399417,11.76022,-179.227881,-135.585958,-159.979285,252.011089,345.164983,291.795568,0
16,47.197963,72.851444,58.660871,-81.690279,-57.659608,-68.285302,-201.876158,-155.95735,-175.145046,11.549673,-173.701841,-118.530542,-144.942748,251.769612,315.846214,294.3309,0
17,46.438177,80.101763,66.08399,-90.59841,-57.970382,-77.106813,-195.317389,-142.077198,-164.122489,11.782436,-163.242672,-111.486698,-127.740343,270.208129,357.524856,323.671412,0
18,71.815886,107.44735,90.313357,-120.705602,-82.138938,-101.551582,-197.387797,-157.579453,-176.871448,11.399842,-172.771996,-147.29105,-158.771105,268.308133,308.258959,288.532978,0
19,81.069085,97.054648,88.794315,-107.965306,-92.082981,-99.60094,-194.937319,-168.214693,-180.324427,11.125767,-179.918724,-152.987502,-165.046147,246.76365,292.511691,269.378692,0
20,40.707077,79.238739,58.59184,-91.012067,-51.755267,-69.778269,-185.304403,-160.89437,-172.95275,11.752387,-177.399656,-152.262364,-164.252243,269.516578,307.703526,291.431585,0
21,57.521369,80.689015,70.814358,-92.152277,-68.708152,-81.958007,-189.828119,-137.278064,-154.265332,10.721658,-206.815652,-137.278418,-163.16489,247.380954,323.240076,292.621469,0
22,63.35606,72.367783,68.388716,-84.245055,-75.54446,-79.290623,-169.732851,-129.267958,-149.914858,10.150639,-199.080611,-145.702534,-172.080976,278.421527,330.697578,302.901211,0
23,56.140389,77.85776,66.066931,-90.079747,-67.914071,-77.710858,-179.435417,-118.49554,-144.839422,11.339976,-206.401995,-138.797637,-163.682757,248.348983,316.957433,286.589848,0
24,49.683444,90.183692,66.688213,-98.40098,-60.490157,-76.32104,-153.057152,-96.088033,-129.250811,10.583015,-188.619673,-103.960253,-151.960694,259.811538,353.55233,300.821786,0
25,42.675308,86.212934,61.051953,-97.779433,-55.242717,-72.583804,-148.879211,-106.859745,-129.664822,9.72748,-191.312336,-131.511608,-164.890672,272.89973,331.004109,294.460389,0
26,26.205731,73.541934,53.283413,-86.903423,-37.737582,-64.582184,-164.450763,-102.406032,-135.275626,11.005626,-191.415927,-137.830314,-157.640176,245.763801,327.696263,293.85811,0
27,38.566665,66.326263,55.933472,-77.064033,-49.027602,-67.08543,-138.348624,-105.928131,-121.784382,11.48492,-171.07989,-144.494442,-153.410882,265.511879,315.46968,289.756449,0
28,48.198873,88.906657,69.372832,-100.438154,-60.421567,-80.464332,-136.03497,-90.217986,-108.67259,11.637311,-158.442477,-121.706159,-136.578559,288.401986,326.759347,307.857234,0
29,49.166195,66.325555,58.876627,-77.546633,-60.836285,-70.52082,-139.764251,-119.807577,-128.594881,11.813839,-163.069784,-118.978848,-140.359547,271.516983,309.80823,290.739769,0
30,55.312367,77.47769,62.666101,-87.421379,-64.979224,-74.465504,-149.811532,-119.013496,-137.890949,11.768194,-164.002104,-124.676361,-149.596129,245.450199,303.108746,272.595851,0
31,98.366685,117.632516,106.877511,-130.68394,-111.348812,-119.436611,-154.714257,-109.898182,-134.429661,12.569967,-160.652893,-123.087845,-141.619876,248.86906,302.935505,271.162899,0
32,62.182617,134.23998,107.257139,-146.635208,-72.851444,-118.659766,-162.206407,-117.459629,-135.836804,11.755072,-153.989119,-103.13117,-128.119971,263.781589,314.019758,289.790037,0
33,54.690113,101.88843,81.301812,-113.731055,-66.394852,-92.091377,-147.497878,-108.138194,-123.312086,11.375567,-136.863699,-110.416138,-119.194692,283.396377,306.216127,295.306619,0
34,67.085695,82.172879,75.492576,-92.773824,-81.793516,-87.904952,-143.423883,-105.305877,-123.967928,12.351476,-133.376602,-98.297389,-115.379763,278.322886,342.570962,318.034975,0
35,57.314187,75.855234,65.85966,-84.96984,-69.709415,-77.702285,-162.89725,-130.407461,-144.511501,11.199046,-150.536316,-89.493202,-123.933545,261.644358,323.691211,296.498889,0
36,33.249929,56.554754,45.186952,-68.881393,-45.402619,-56.157979,-187.100808,-154.472426,-172.883984,11.190069,-149.811178,-132.617523,-142.82841,245.069422,290.368096,266.709364,0
37,69.882303,85.21167,75.199304,-97.883378,-79.929229,-86.71383,-191.761349,-135.793493,-154.429293,11.15399,-158.892551,-89.113839,-118.616721,245.620965,316.539179,286.173893,0
38,63.977961,82.41471,73.65401,-93.256778,-74.059536,-85.039313,-221.278814,-174.152268,-194.297917,10.09958,-174.463042,-127.230784,-146.289433,234.439486,288.608108,263.845758,0
39,31.246342,57.694964,45.583815,-69.260402,-44.021993,-56.951971,-251.837848,-158.339593,-198.864855,12.129828,-194.352188,-80.550776,-136.268404,202.567354,330.524337,269.963028,0
40,38.669902,95.604726,58.237933,-106.273199,-47.232258,-69.527954,-199.977929,-173.082062,-188.86937,10.998714,-115.319217,-85.591033,-106.02253,274.797252,310.120064,289.066136,0
41,45.920221,101.440125,71.513421,-115.871467,-59.075236,-84.65942,-211.716256,-181.332938,-201.799613,11.390337,-111.728528,-94.39628,-102.958725,260.642388,283.672502,275.783489,0
42,49.995278,77.029384,63.572524,-89.354963,-62.631276,-75.423545,-210.370278,-163.622034,-189.361782,12.271771,-103.890603,-59.903612,-87.093458,248.007097,320.336696,280.996103,0
43,52.583642,87.66321,73.084259,-99.230062,-63.183526,-82.829604,-203.361435,-167.695676,-185.398979,12.387808,-77.891701,-35.493578,-57.762934,259.916896,327.96956,292.105281,0
44,73.990593,95.39719,86.359747,-106.411085,-85.418499,-97.79658,-204.053693,-156.992908,-181.834807,12.703029,-53.033362,-2.9352,-31.203738,263.335758,340.710917,297.948635,0
45,69.191106,87.214904,76.424808,-100.783222,-82.104643,-88.043191,-212.26886,-170.700527,-195.291226,11.842776,-64.80669,-5.55892,-39.533014,255.117409,331.248414,289.818144,0
46,57.693903,93.947268,73.636774,-105.375174,-69.294697,-86.428866,-215.274417,-185.787357,-201.894366,12.040228,-39.291095,-14.604937,-28.035458,286.60346,308.842675,297.223585,0
47,65.600771,127.852684,100.360638,-140.765515,-77.650931,-113.178628,-207.782621,-192.590078,-199.375121,12.461662,-26.033197,5.523918,-11.877449,300.278198,310.737014,306.406074,0
48,50.581469,86.351527,71.763649,-98.711753,-64.288734,-84.599051,-204.845299,-164.657239,-181.031357,12.305335,-22.408214,44.263117,12.153133,321.688331,374.611384,348.317353,0
49,59.351361,102.199204,85.600491,-115.836465,-74.23207,-99.385007,-186.615379,-145.081341,-160.773455,11.232532,9.115314,57.175594,41.906772,318.925311,378.239549,356.003162,0
50,84.832308,95.087124,88.794404,-108.448613,-97.951967,-101.853782,-177.363947,-131.823089,-152.236908,12.232306,38.877084,59.00594,48.337289,330.071789,383.45128,363.063535,0
51,54.034625,78.306066,66.230803,-90.149044,-65.945486,-77.572884,-200.807012,-156.371361,-179.038288,11.315058,16.22704,57.763199,35.139495,288.75059,349.206098,328.602067,0
52,63.633246,82.069641,75.078212,-96.813171,-77.166917,-87.809846,-179.227881,-145.115636,-161.239703,11.76505,36.702377,70.158428,55.545094,318.574939,361.250248,336.201432,0
53,47.81951,105.030459,81.776546,-116.147239,-62.009729,-94.283585,-189.792763,-121.637923,-147.325344,11.107398,45.057551,117.149209,86.342688,314.300479,399.922625,360.451306,0
54,34.14654,81.137675,67.318422,-93.360369,-47.370851,-79.074867,-182.059137,-149.777237,-159.297988,11.038216,52.480758,106.791155,87.792964,318.579536,364.258634,345.07792,0
55,55.000533,103.442297,77.184417,-116.527662,-68.19055,-90.347829,-162.793305,-105.927424,-130.847458,12.511677,61.561423,143.044166,109.777797,313.432505,382.039187,350.843669,0
56,79.065852,96.433455,89.070087,-105.927778,-94.085507,-101.007906,-177.328946,-132.375339,-155.775712,11.124514,53.861738,108.276079,80.533364,277.733159,324.551052,301.461188,0
57,75.993473,91.840797,84.245144,-102.371031,-85.971457,-95.837364,-175.878316,-106.929748,-148.810092,11.386216,81.068378,137.899964,98.815344,280.912665,332.733339,302.991367,0
58,79.411274,108.275372,94.136949,-119.461802,-92.600229,-106.203815,-111.383107,-67.879776,-87.369849,13.119148,140.627275,175.533955,159.23753,336.736624,388.979087,364.653376,0
59,73.300457,103.752717,92.186483,-114.766613,-84.003578,-103.787189,-102.681804,-57.45278,-79.877345,12.791876,146.39267,190.137478,169.180512,326.765004,398.712765,357.318381,0
60,64.703099,99.850902,85.634697,-110.106072,-78.16818,-97.158328,-102.336382,-63.667187,-80.818239,12.828042,148.326961,193.556339,175.119856,327.797026,351.239384,340.598576,0
61,77.062972,90.52876,84.61611,-103.062228,-90.011158,-96.752537,-97.675842,-49.545558,-73.904414,12.626026,139.349887,216.170675,179.848809,312.948844,379.516937,344.722599,0
62,64.841338,82.242529,72.678645,-93.014947,-75.475164,-83.951606,-91.840797,-48.855068,-71.2974,12.750557,150.260545,190.829028,172.840762,288.88494,348.649605,321.503334,0
63,80.205708,95.535076,90.468744,-109.691707,-91.59932,-103.312632,-100.33527,-33.490698,-71.306327,12.778187,134.5504,213.339066,168.869474,299.624124,365.434552,326.020244,0
64,66.80957,95.466487,85.108521,-105.651299,-78.133885,-96.786743,-70.192369,-27.72495,-47.430955,11.878259,145.840774,195.627101,171.605977,305.732113,379.891704,345.808627,0
65,65.911544,101.197587,88.16393,-115.664638,-77.098327,-99.851256,-56.865881,-25.619186,-41.812108,11.725027,148.326961,178.747048,161.783999,331.698134,357.34914,341.882947,0
66,80.48148,100.57604,90.019731,-115.07774,-91.806148,-102.388885,-81.79387,-21.16512,-49.217902,12.266819,120.80884,150.363782,136.475144,307.983894,342.813499,324.439506,0
67,68.294141,94.913175,81.621071,-109.035512,-80.102117,-94.007548,-55.035889,-12.360934,-36.503504,11.74639,120.533068,144.666976,129.691073,305.148749,388.767308,339.716902,0
68,65.635066,97.088943,80.024247,-110.347195,-77.961351,-91.685763,-56.348279,-14.501346,-36.140935,11.842935,94.395927,143.009872,121.793044,306.28507,353.689155,334.04564,0
69,65.634712,90.701294,81.577672,-104.650036,-77.823465,-93.023698,-39.844053,-6.076876,-20.586707,10.907133,110.934094,147.566821,131.667525,321.61267,377.68341,349.855841,0
70,71.642998,94.465223,83.278529,-104.029196,-81.4138,-93.213468,-30.901273,13.880153,-8.018679,11.150673,107.999247,174.32551,135.793405,337.222759,401.505837,367.052413,0
71,59.00594,115.733581,94.948177,-125.849804,-70.779621,-105.806951,-43.192911,-10.910304,-29.261316,12.348562,86.696241,111.314164,98.668796,315.090317,370.817403,336.065668,0
72,81.137675,101.992375,93.757233,-112.349368,-93.913326,-104.218789,-34.250131,23.996376,-16.1497,11.654352,70.262019,114.974148,84.953135,321.207144,396.16011,350.688106,0
73,94.878881,106.445734,100.395021,-118.150119,-107.584883,-112.427415,-45.264733,-2.279005,-30.599339,12.011175,23.685602,74.646081,45.42834,323.272603,366.049735,342.529242,0
74,109.864241,122.707775,118.003836,-135.413777,-122.569889,-130.528111,-64.426267,-8.251583,-38.6349,13.258962,-18.368159,51.962449,10.927363,290.026564,373.857962,327.833089,0
75,116.147239,127.507263,121.473432,-141.04164,-129.094717,-134.740435,-73.438343,-3.763222,-30.866802,12.834848,-49.649503,25.618479,-4.686881,290.717407,367.678909,339.762245,0
76,110.969096,155.991291,139.815782,-167.212723,-124.36488,-151.511593,-60.041851,-41.501158,-49.295596,12.124742,-61.768252,-28.760154,-40.007748,316.749543,349.924165,326.862408,0
77,128.025218,156.094883,137.329771,-169.00842,-140.10932,-149.578363,-93.637201,-31.626411,-58.30723,12.198706,-97.192888,-32.110072,-64.539139,259.329998,350.826787,303.83468,0
78,121.49933,154.576017,135.301435,-162.931191,-131.132599,-145.90132,-73.887355,-45.541212,-58.108533,12.243867,-103.234762,-67.292524,-81.172235,294.477094,324.997237,308.443779,0
79,116.355128,163.82957,143.147846,-178.019789,-126.436703,-154.33454,-94.050859,-40.844963,-64.366428,12.405682,-135.10265,-78.79008,-110.882475,251.392724,328.55257,295.953533,0
80,132.99724,142.767688,137.174738,-153.091093,-144.977396,-148.421271,-91.012421,-21.440538,-51.470656,12.280638,-155.024323,-76.994029,-109.803165,265.092918,332.005372,300.648103,0
81,128.887889,145.426409,136.311272,-155.749814,-139.729603,-148.084865,-76.441779,-26.826924,-49.113958,10.672989,-144.908453,-124.192346,-135.189271,284.222985,326.001328,304.776458,0
82,127.645148,159.133674,148.318211,-171.736085,-138.935522,-160.255852,-95.846203,-28.553325,-58.1948,11.911686,-183.716595,-137.03588,-158.822635,264.751739,332.182856,305.769147,0
83,153.195391,177.536482,162.405192,-188.446786,-164.968366,-173.427661,-91.910447,-34.423019,-68.198946,11.044982,-201.256379,-135.379129,-169.138086,277.074842,348.578894,304.628584,0
84,152.193774,172.529458,159.159307,-186.063836,-161.860985,-170.682584,-79.031557,-31.488172,-59.89495,11.364029,-195.352037,-152.676728,-183.138889,279.526735,316.30053,305.216455,0
85,130.510699,163.4495,149.604084,-176.845638,-142.250085,-161.610934,-62.700573,-27.379528,-41.501069,12.068492,-199.875399,-125.711918,-161.403929,326.105273,387.416734,353.128154,0
86,143.838601,170.94165,157.2259,-184.855744,-153.264334,-168.66291,-59.93826,-17.574078,-37.841173,12.086142,-181.922311,-130.131689,-159.720926,340.60768,381.65735,361.407049,0
87,143.837894,178.399152,160.989211,-189.55164,-156.889317,-172.702523,-90.736296,-46.576417,-60.930861,12.789057,-213.822727,-163.173021,-182.369026,308.635847,385.284807,346.700465,0
88,142.35403,157.855932,149.345283,-169.353488,-154.714257,-160.868472,-87.110606,-32.76556,-65.540137,12.135758,-210.404219,-158.063114,-186.90105,301.522706,390.810847,340.833512,0
89,133.16942,153.298629,143.544798,-165.693857,-145.564295,-156.518086,-79.169797,-44.574244,-65.160509,11.837385,-187.790944,-164.829419,-174.256036,360.831994,388.846151,374.855159,0
90,135.275538,166.211459,148.179971,-179.089995,-146.91098,-160.350516,-96.122328,-34.250838,-67.534531,12.881976,-186.617147,-145.59859,-165.529278,336.256498,396.366231,361.849079,0
91,123.571506,164.726889,147.023321,-177.639719,-137.174473,-159.383813,-102.578213,-57.45278,-77.408747,12.014232,-189.966005,-129.751619,-156.56997,323.4812,399.54008,364.584963,0
92,130.338165,153.194684,141.568346,-164.07034,-143.078107,-152.48687,-100.403506,-56.830879,-73.334309,12.532038,-174.809171,-113.972885,-141.740969,340.297613,390.56336,370.463761,0
93,110.519729,121.844751,116.449969,-136.138915,-122.673481,-127.869832,-83.866046,-50.582176,-67.025326,12.329395,-140.869106,-90.529113,-117.908818,357.873106,429.167854,396.445162,0
0,116.389423,136.864053,128.862344,-151.399694,-130.752529,-141.69757,-524.839402,-491.004342,-508.275425,10.330931,206.744588,239.405496,223.7064,310.359773,363.288483,337.29895,0
1,112.902326,139.591364,123.346646,-151.261101,-126.195226,-136.820478,-546.21524,-494.6318,-520.654213,11.342703,182.750333,251.082304,218.149336,289.956914,378.689976,341.981235,0
2,99.954847,137.243769,116.536236,-147.014217,-114.317246,-129.46639,-556.917301,-493.489823,-530.381351,10.500784,158.166705,234.229121,194.660928,293.029293,362.636177,322.220694,0
3,109.415228,136.656871,120.593084,-149.915123,-123.81263,-133.221127,-531.917541,-497.598113,-517.286617,10.716435,176.260154,221.453823,198.830472,301.723524,347.683697,325.550813,0
4,107.239814,139.177353,125.452675,-152.539196,-119.220678,-137.511321,-551.635213,-498.980507,-529.087346,10.611138,168.352225,214.687518,193.859423,310.979198,344.127304,325.896942,0
5,109.553114,129.164367,122.017197,-143.078461,-121.672217,-134.775083,-529.948248,-489.275466,-510.82101,11.154489,158.615718,198.87555,177.614263,306.217895,363.527485,338.081806,0
6,115.975412,140.558332,129.880843,-152.40025,-127.68015,-141.188276,-538.062299,-487.794077,-510.304822,11.748373,148.430906,195.559219,172.642507,306.699435,353.554805,328.288642,0
7,124.295937,144.97775,129.967199,-156.716783,-135.689902,-142.008432,-542.382721,-490.350268,-522.112621,11.90648,132.2371,167.005894,145.849524,275.176261,343.021035,309.650898,0
8,127.092191,145.702181,136.026308,-157.130794,-140.144321,-147.713811,-522.735759,-495.080813,-511.340733,11.72693,131.650555,168.075746,145.858098,286.640937,318.650246,301.343366,0
9,126.954659,147.740416,137.684032,-160.617891,-139.522421,-150.329222,-514.137341,-493.17516,-504.510966,12.120242,123.156435,167.316314,144.94319,270.068121,333.149471,300.616549,0
10,131.477314,163.75992,149.060231,-177.122117,-144.04543,-161.438312,-532.995878,-487.037473,-505.076651,12.27019,124.98678,152.848909,139.651645,271.760581,307.425633,295.392797,0
11,125.124666,155.335096,142.914589,-167.902859,-138.935522,-154.498235,-521.148304,-487.656192,-501.749714,11.611976,142.215084,191.48487,166.444274,303.422702,350.892901,326.725671,0
12,138.34827,170.872707,151.960341,-185.995246,-149.638644,-164.2952,-526.638988,-469.455263,-496.208648,12.121413,133.790967,201.221023,169.223823,269.964177,346.679959,310.341742,0
13,136.829758,162.413589,147.800255,-174.290508,-150.39843,-159.496155,-522.83829,-468.253182,-498.254838,10.579917,158.33924,190.829028,174.032149,299.34411,338.223316,317.09249,0
14,144.183669,163.208023,152.79782,-176.569867,-156.923965,-165.823081,-505.708628,-462.239238,-484.517521,11.129052,177.225708,211.991674,200.839804,287.23031,341.878704,316.713039,0
15,160.100289,177.915844,169.284457,-189.274808,-172.978471,-181.886602,-484.99747,-453.163523,-465.394702,10.683447,201.703624,225.805005,215.179046,291.924792,346.26913,320.183607,0
16,161.89528,172.32263,166.798358,-185.097574,-174.947057,-178.175176,-485.690435,-452.990282,-467.543423,11.128234,208.159862,242.030984,225.260002,298.419214,375.587545,340.262435,0
17,144.011135,159.789516,151.736276,-171.701436,-156.232768,-164.76136,-514.787879,-476.335412,-497.763399,11.874754,191.65705,239.856984,214.237975,279.389203,366.160044,324.033008,0
18,145.806125,184.54497,158.330666,-197.354917,-157.649103,-170.708747,-540.75284,-472.329652,-514.550998,10.946618,185.718414,252.352975,210.534061,263.23252,356.213173,310.879054,0
19,142.836984,183.440116,161.576286,-198.183292,-155.128621,-174.618959,-518.04057,-473.291317,-499.651374,11.439064,208.435987,244.89512,229.282114,314.741714,348.993966,332.827295,0
20,166.246108,184.027368,176.250254,-196.698368,-179.953019,-188.990462,-531.023051,-479.330009,-506.323811,11.642506,237.577979,256.395505,246.26072,305.113041,350.58036,330.420127,0
21,155.473689,188.308546,174.800067,-200.496946,-169.319194,-186.789504,-538.967395,-496.594021,-516.554762,12.021116,214.204564,250.387572,234.272697,289.504365,359.248429,321.581734,0
22,176.086206,187.375872,181.912412,-200.738423,-192.41719,-196.008055,-540.519495,-511.750855,-525.134619,12.621213,230.051181,254.739107,242.549735,301.105159,367.472788,342.116027,0
23,161.1362,201.531797,177.639631,-215.136178,-176.638102,-190.241865,-563.26712,-528.777987,-547.197234,11.935019,178.469155,224.87127,204.079237,285.121718,364.152921,323.38468,0
24,162.102815,183.301877,172.089638,-195.835698,-176.293388,-184.027457,-586.77842,-550.150289,-570.933925,11.814916,137.865316,205.01854,158.977934,281.981103,349.168975,309.438766,0
25,164.243935,202.603063,184.864848,-216.413566,-178.261266,-197.596305,-595.617255,-542.930729,-573.546685,12.058216,88.733769,156.924319,125.24567,297.722714,324.102747,312.680762,0
26,178.848518,201.393911,190.708113,-213.651253,-191.623109,-202.878747,-613.606052,-562.648401,-582.93883,12.496768,49.925274,112.315427,93.360015,290.541691,347.167509,319.512121,0
27,169.042715,196.767665,182.861879,-209.128598,-181.644772,-196.008144,-606.496093,-585.746044,-595.680895,11.350006,52.238574,81.448802,65.600859,307.151629,350.82714,331.9062,0
28,187.445169,200.600891,194.566618,-211.475839,-201.325321,-208.170292,-634.462166,-592.760544,-611.452027,11.990747,23.201941,37.08174,28.967778,290.749227,356.145998,326.028022,0
29,177.605424,206.953538,191.709641,-216.690045,-192.796907,-204.941907,-649.307873,-603.971722,-626.347232,11.169591,-30.797682,20.819699,-7.034829,290.473809,337.357817,309.556765,0
30,174.394453,200.807366,183.768302,-212.925762,-185.028278,-195.377846,-655.799113,-607.878487,-633.774505,11.410524,-56.830879,-9.564326,-36.537887,293.479013,346.578843,320.020531,0
31,191.795643,210.267747,202.896071,-224.147193,-207.885505,-215.697002,-658.768962,-599.973033,-623.716795,10.746401,-103.925605,-30.901627,-57.547532,275.867811,360.912251,326.460064,0
32,187.445876,199.494976,192.926572,-210.854292,-199.2885,-205.364846,-647.787593,-616.505189,-633.218542,10.71352,-98.124854,-71.0561,-84.331676,294.575382,359.392678,326.845791,0
33,172.219039,207.229663,187.937492,-219.866015,-186.409611,-201.212891,-676.206215,-636.983002,-655.075213,11.708246,-138.797637,-93.22213,-117.347641,271.102265,343.469341,305.818733,0
